map,algo,cost,nodes,time
small,bfs,6,15,0.0
small,ucs,6,38,0.0
small,astar,6,15,0.0
small,simulated_annealing_replan,6,15,0.0
medium,bfs,10,34,0.0
medium,ucs,10,102,0.0
medium,astar,10,34,0.0012602806091308594
medium,simulated_annealing_replan,10,34,0.0005807876586914062
large,bfs,38,400,0.0016751289367675781
large,ucs,38,1518,0.002969026565551758
large,astar,38,400,0.00258636474609375
large,simulated_annealing_replan,38,400,0.0013935565948486328
dynamic,bfs,8,25,0.0
dynamic,ucs,8,78,0.0
dynamic,astar,8,25,0.0
dynamic,simulated_annealing_replan,8,25,0.0
small,bfs,6,15,0.0
small,ucs,6,38,0.0
small,astar,6,15,0.0
small,simulated_annealing_replan,6,15,0.0
medium,bfs,10,34,0.0
medium,ucs,10,102,0.0
medium,astar,10,34,0.009875297546386719
medium,simulated_annealing_replan,10,34,0.0
large,bfs,38,400,0.0009210109710693359
large,ucs,38,1518,0.003627300262451172
large,astar,38,400,0.002766847610473633
large,simulated_annealing_replan,38,400,0.001153707504272461
dynamic,bfs,8,25,0.0
dynamic,ucs,8,78,0.0
dynamic,astar,8,25,0.0
dynamic,simulated_annealing_replan,8,25,0.0
small,bfs,6,15,0.002004384994506836
small,ucs,6,38,0.0
small,astar,6,15,0.0
small,simulated_annealing_replan,6,15,0.0
medium,bfs,10,34,0.0
medium,ucs,10,102,0.0
medium,astar,10,34,0.0
medium,simulated_annealing_replan,10,34,0.0
large,bfs,38,400,0.0020084381103515625
large,ucs,38,1518,0.004021883010864258
large,astar,38,400,0.003759145736694336
large,simulated_annealing_replan,38,400,0.0020089149475097656
dynamic,bfs,8,25,0.0
dynamic,ucs,8,78,0.0
dynamic,astar,8,25,0.0017015933990478516
dynamic,simulated_annealing_replan,8,25,0.0
